Experiment,Species,Resonance,Peak,Position,Width,Height,Fraction
4::27,vanillin,H3,1,7.453865753076194,1.8230126321309883,0.06235992146839396,2.734572435941171e-12
4::27,vanillin,H4,1,7.048281652966913,1.7292257954802517,0.032697589933298146,2.9095891293229697e-13
4::27,vanillin,H5,1,3.8975252227351764,0.6443482238911109,0.27498953511703095,8.2596534148968e-13
4::28,TMU,2.82 s,1,2.8192853773156608,0.46350300926736837,0.39029886829654,2.436501225542668e-12
4::28,solvent,2.00 s,1,2.000118904691794,0.34086977184537703,1.0418531269049571,2.9033643579139727e-13
4::28,vanillin,H1,1,9.818752678450435,1.3826461945678452,0.0926484298797401,1.2636926433073725e-12
4::28,vanillin,H2,1,8.3022285033001,2.6551564644057084,0.02854645705469465,1.9460775230366245e-12
4::28,vanillin,H3,1,7.453393972204502,1.9032972827849093,0.06177337513402551,3.928963735648833e-12
4::28,vanillin,H4,1,7.047798308062963,1.711186349306818,0.03398636026476907,6.565447142306457e-13
4::28,vanillin,H5,1,3.8968662526071443,0.6414205334846709,0.28014788098296634,8.2285126962774e-13
4::29,TMU,2.82 s,1,2.8188894655309182,0.4636111568205694,0.3811586695626546,1.746360906365192e-12
4::29,solvent,2.00 s,1,1.9997696580366515,0.3404708154614962,1.0162244485454124,6.817924097494365e-13
4::29,vanillin,H1,1,9.818085961909238,1.4005490866816497,0.09023777045554614,2.792194222801929e-12
4::29,vanillin,H2,1,8.302955598750167,2.6611954536367137,0.028777931322541368,2.651333546579795e-12
4::29,vanillin,H3,1,7.452640950580168,1.845474246351164,0.06097523893272549,1.3794195666857186e-12
4::29,vanillin,H4,1,7.047380222463648,1.7011466440345742,0.03280052955085424,1.5904829888232794e-12
4::29,vanillin,H5,1,3.896455964669852,0.6400576320477624,0.27267467999235806,1.7109423387536216e-12
4::30,TMU,2.82 s,1,2.8202211222712394,0.4635974019915611,0.3786067648308855,1.54092810988748e-12
4::30,solvent,2.00 s,1,2.0011022583918434,0.3406443130680479,1.012176098569624,5.380481485278097e-13
4::30,vanillin,H1,1,9.819329204345358,1.3963798839803936,0.08908393829952031,6.014370083962198e-13
4::30,vanillin,H2,1,8.305366931815033,2.613112399409264,0.028539418628778547,2.013715256846357e-12
4::30,vanillin,H3,1,7.454300641366211,1.8582770339014538,0.059812766818537935,2.0143307430735425e-12
4::30,vanillin,H4,1,7.048732635844861,1.7892804721161386,0.03189913170609133,4.193627319404154e-13
4::30,vanillin,H5,1,3.8977465938443507,0.6419383798513449,0.27320650708277117,2.2381446073292688e-12
4::31,TMU,2.82 s,1,2.819896330664909,0.4649226733698861,0.3801984505796301,1.7837049991183087e-12
4::31,solvent,2.00 s,1,2.0008104723434514,0.34071137897027126,1.018020032282644,1.1290110369778257e-12
4::31,vanillin,H1,1,9.81918310827617,1.3855548580282941,0.09087438512977689,1.6769153909324187e-12
4::31,vanillin,H2,1,8.305224519572242,2.699217630349436,0.028105905497369087,1.0448312229608124e-12
4::31,vanillin,H3,1,7.453569413429432,1.85850139431559,0.06110604099478887,1.394306302196703e-12
4::31,vanillin,H4,1,7.0482837751601455,1.6962781410577634,0.032436317557568026,5.33208100547349e-13
4::31,vanillin,H5,1,3.897447382821192,0.6430068944710158,0.27410673149110476,5.952242250460788e-13
8::35,TMU,2.82 s,1,2.8202358961111633,0.46717124413945005,0.38024209560748684,4.090436060519355e-12
8::35,solvent,2.00 s,1,2.0003429681235354,0.34428381661170754,1.028039380237726,2.9591698673544065e-12
8::35,vanillin,H1,1,9.817357020027925,1.410479813275264,0.07757922765668651,1.6680081745256253e-12
8::35,vanillin,H2,1,8.302412701953273,2.7112377664699636,0.029567152028117088,2.6148745581900525e-12
8::35,vanillin,H3,1,7.452386108391635,1.8789577929493344,0.062126987279297836,2.1013756732029485e-12
8::35,vanillin,H4,1,7.046624496246078,1.8236163711692779,0.033611057436930436,4.181214702206553e-12
8::35,vanillin,H5,1,3.8970421778884075,0.6544947615356914,0.29127959701745904,2.888810246050638e-12
8::36,TMU,2.82 s,1,2.819931846219487,0.4637908150089603,0.3769391555222739,1.6707440450511112e-12
8::36,solvent,2.00 s,1,2.0000905313130666,0.34117692535943706,1.0177233857478394,1.929563734593947e-13
8::36,vanillin,H1,1,9.817089757777097,1.417364060414961,0.07502275317279765,1.0845259852008633e-12
8::36,vanillin,H2,1,8.302903358338213,2.6132954601697858,0.0291287456752749,2.8626593654512124e-13
8::36,vanillin,H3,1,7.452608986060256,1.8798581258907936,0.06064046942351121,2.765197288385805e-12
8::36,vanillin,H4,1,7.046379618040219,1.8124934732970381,0.03251440183330622,6.153943605344808e-13
8::36,vanillin,H5,1,3.896718227348377,0.6468827850535825,0.287991388875752,6.524242196983776e-13
8::37,TMU,2.82 s,1,2.8198939534006517,0.46420176097052995,0.37556077217520045,2.667160957553251e-12
8::37,solvent,2.00 s,1,2.0000706884341293,0.3404907643004055,1.0121123370333944,5.723963091724011e-13
8::37,vanillin,H1,1,9.817102120863904,1.4125826383379787,0.07563188259875638,8.286995741856442e-13
8::37,vanillin,H2,1,8.304455139251466,2.587108945767066,0.029507878104552063,3.126153710886383e-13
8::37,vanillin,H3,1,7.4524205197968,1.891729558457436,0.060570672443155,1.4919923732342973e-12
8::37,vanillin,H4,1,7.04731646482262,1.7943065870029413,0.03250051629072294,8.459006313494659e-13
8::37,vanillin,H5,1,3.8966757058411097,0.6491596755455529,0.28737307593692946,9.899236063731095e-13
8::38,TMU,2.82 s,1,2.8199225116478663,0.46546558008779193,0.3718330237981817,3.010459368188012e-13
8::38,solvent,2.00 s,1,2.000086360576842,0.3410325044820074,1.0029750593762743,1.0064564456761301e-12
8::38,vanillin,H1,1,9.816817337272214,1.4050570274233336,0.07612479497145033,1.3434102582958594e-12
8::38,vanillin,H2,1,8.304240698841973,2.569524931370199,0.029597687543088606,9.848388086222447e-13
8::38,vanillin,H3,1,7.4516276205323075,1.8794060412387725,0.060148888475305966,4.592614221982768e-12
8::38,vanillin,H4,1,7.046113402425444,1.7701397340646186,0.032324498282290504,8.138784457191107e-13
8::38,vanillin,H5,1,3.896660717923649,0.6501476090036156,0.2853683142022989,1.3072872293856656e-12
8::39,TMU,2.82 s,1,2.8199445056329915,0.46354191834566005,0.3740257994362037,2.559126128277278e-13
8::39,solvent,2.00 s,1,2.0000883653259365,0.3413886636087657,1.008443412002041,6.334255990213219e-13
8::39,vanillin,H1,1,9.817026632754454,1.40987297586308,0.07542886623452809,9.913323269833759e-13
8::39,vanillin,H2,1,8.304180677483014,2.655731528012748,0.02935654974871469,8.243111970855514e-13
8::39,vanillin,H3,1,7.452101305810411,1.9318393757197039,0.05931201368279444,3.1708055755103593e-12
8::39,vanillin,H4,1,7.04621158662766,1.7325285170311762,0.03311827674174284,7.2109264459872e-13
8::39,vanillin,H5,1,3.896702436035187,0.6487113527360296,0.2883467586804934,1.0991891715866602e-12
HR::24,TMU,2.82 s,1,2.826922474794416,0.48258748151100267,0.3646502912423303,1.0755889380136184e-12
HR::24,solvent,2.00 s,1,2.0076065830550887,0.35108535539021524,0.994045228527224,1.5388000833330206e-12
HR::24,vanillin,H1,1,9.82419838826702,1.4972650921037143,0.03916316373088191,5.565892496707456e-13
HR::24,vanillin,H2,1,8.225375933502995,2.6580265462188586,0.029957674992753733,6.576276974883972e-13
HR::24,vanillin,H3,1,7.460232956243326,2.0029322689899693,0.06597666320260585,7.806035622427495e-13
HR::24,vanillin,H4,1,7.054535662024457,1.8737284465096111,0.04486016711046583,9.481822270697464e-13
HR::24,vanillin,H5,1,3.903640654784084,0.6765227578711859,0.2506699089138201,1.6841935617821498e-12
HR::25,TMU,2.82 s,1,2.8193467635503167,0.47794976860080074,0.36921100188158856,2.120306954077971e-12
HR::25,solvent,2.00 s,1,2.0000612768619535,0.34617544108947745,1.0051179846512077,1.042383783259858e-12
HR::25,vanillin,H1,1,9.81611586717309,1.4731543529034532,0.038354560218131536,6.6188382798106e-13
HR::25,vanillin,H2,1,8.218338234419964,2.66355237997332,0.030115634316320656,2.317341422941708e-13
HR::25,vanillin,H3,1,7.452511401744505,2.009846570504904,0.06666671005771274,5.727991118387095e-13
HR::25,vanillin,H4,1,7.046590392368654,1.8897349506799899,0.04574339135345236,1.0169739441963372e-12
HR::25,vanillin,H5,1,3.8960021956971946,0.6737228288654762,0.25179279330753535,3.671687781581688e-13
HR::26,TMU,2.82 s,1,2.826513540460628,0.47397929206390205,0.36198178078967,7.350123995009536e-13
HR::26,solvent,2.00 s,1,2.007281672108852,0.3405648032785162,0.9921821590411871,3.5414221359272398e-12
HR::26,vanillin,H1,1,9.823285499101608,1.4581883611318147,0.0372941052540476,1.5030289784919792e-12
